circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,totservices_outlier_flag,billdservices_outlier_flag,units_outlier_flag,load_outlier_flag,catcode_circle_mean,catcode_circle_sum,catcode_circle_std,catcode_circle_count,catcode_circle_rank,totservices_circle_mean,totservices_circle_sum,totservices_circle_std,totservices_circle_count,totservices_circle_rank,billdservices_circle_mean,billdservices_circle_sum,billdservices_circle_std,billdservices_circle_count,billdservices_circle_rank,circle_encoded,division_encoded,catcode_std,totservices_std,billdservices_std,units_std,load_std,catcode_circle_mean_std,catcode_circle_sum_std,catcode_circle_std_std,catcode_circle_count_std,catcode_circle_rank_std,totservices_circle_mean_std,totservices_circle_sum_std,totservices_circle_std_std,totservices_circle_count_std,totservices_circle_rank_std,billdservices_circle_mean_std,billdservices_circle_sum_std,billdservices_circle_std_std,billdservices_circle_count_std,billdservices_circle_rank_std,totservices_log,billdservices_log,load_log,catcode_totservices_ratio,catcode_billdservices_ratio,catcode_units_ratio,catcode_load_ratio,catcode_catcode_circle_mean_ratio
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,CHINNA MANGLARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,HIMAYATH NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,0.0,7.5,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,2.0,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.1748716471404513,-0.1886597892124073,-0.17182218533908278,-0.11636139972746931,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-1.0455391828940896,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,1.0986122886681098,0.6931471805599453,2.1400661634962708,2.0,4.0,,0.5333333333333333,1.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,SURANGAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KHANAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MUDMIYAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,146.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.13126158373622424,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.0273972602739726,1.0666666666666667,1.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,SHANKAR PALLY,JANWADA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,1.0,119.0,16.28,False,False,False,True,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,1.0,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.06510180710647905,-0.1886597892124073,-0.1387625169093556,0.024371405437067103,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-1.064054025976791,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,1.6094379124341003,0.6931471805599453,2.8495497633759097,1.0,4.0,0.03361344537815126,0.24570024570024568,1.0
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),ANANTHAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,3.0,27.0,9.75,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,3.0,1.9,19.0,1.5238839267549946,10,3.0,2.0,10.0,0.0,-0.11998672712346517,-0.06871142694585676,-0.1643212521659514,-0.08029661480489449,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-1.0270243398113883,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-1.0621844575828447,1.3862943611198906,1.3862943611198906,2.3749057545736716,1.3333333333333333,1.3333333333333333,0.14814814814814814,0.41025641025641024,1.0
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),PUTANPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,236.0,3.75,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.10625847315911965,-0.17646937459842735,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.01694915254237288,1.0666666666666667,1.0
GADWAL,GADWAL,ALAMPUR X ROAD,ALAMPUR,ALAMPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,73.0,3.75,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.1515418845376535,-0.17646937459842735,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.0547945205479452,1.0666666666666667,1.0
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),ZAM CHED,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,2.25,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.20051256454681055,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,1.1786549963416462,4.0,4.0,,1.7777777777777777,1.0
GADWAL,GADWAL,GADWAL,GADWAL(TOWN),GADWAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,4.0,1140.0,16.5,False,True,True,True,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,2.0,1.9,19.0,1.5238839267549946,10,2.0,2.0,10.0,0.0,-0.010216887089492924,-0.008737245812581482,0.14488388197090854,0.027897739962829956,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-1.0455391828940896,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-1.0813331552277732,1.791759469228055,1.6094379124341003,2.8622008809294686,0.8,1.0,0.0035087719298245615,0.24242424242424243,1.0
GADWAL,GADWAL,ALAMPUR X ROAD,ALAMPUR,PRAGATOOR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,7,5.0,205.0,22.5,True,True,False,True,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,1.0,1.9,19.0,1.5238839267549946,10,1.0,2.0,10.0,0.0,0.09955295294447933,0.051236935320693795,-0.11487065569123345,0.1240704997563628,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-1.064054025976791,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-1.1004818528727018,2.0794415416798357,1.791759469228055,3.1570004211501135,0.5714285714285714,0.8,0.01951219512195122,0.17777777777777778,1.0
GADWAL,GADWAL,IEEZA,GATTU,INDUE VASI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,0.75,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.22455575449519374,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,0.5596157879354227,4.0,4.0,,5.333333333333333,1.0
GADWAL,GADWAL,ALAMPUR X ROAD,ITIKYAL(ERRAVALLY),BEECHUPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,185.0,5.25,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.12042690248614558,-0.15242618465004412,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,1.8325814637483102,4.0,4.0,0.021621621621621623,0.7619047619047619,1.0
GADWAL,GADWAL,IEEZA,IEEZA,IEEZA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,0.75,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.22455575449519374,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,0.5596157879354227,4.0,4.0,,5.333333333333333,1.0
GADWAL,GADWAL,ALAMPUR X ROAD,SHANTINAGAR(WPALLY),RAJOLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,33.0,3.0,False,False,False,False,4.0,40,0.0,10,5.5,2.2,22,2.14993539954628,10,7.0,1.9,19.0,1.5238839267549946,10,7.0,2.0,10.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.16265437812747777,-0.18849096957261893,0.0,-1.368018021564916,0.0,-1.368018021564916,-1.368018021564916,-0.859537040864011,-0.9088746530766193,-0.94223587370979,-1.368018021564916,-0.9529649674805832,-0.7746616410629885,-0.8947940713409597,-0.8733740652382506,-1.368018021564916,-0.9855896670031309,0.6931471805599453,0.6931471805599453,1.3862943611198906,4.0,4.0,0.12121212121212122,1.3333333333333333,1.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,HV-I,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,97.0,3.75,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,10.5,1.0625,17.0,0.25,16,9.0,3.0,36.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.14487438838375893,-0.17646937459842735,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-0.8881630166911286,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.041237113402061855,1.0666666666666667,1.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV CT METERS NARAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,1.0,0.0,5.25,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,1.0,1.0625,17.0,0.25,16,9.0,3.0,22.0,0.0,-0.11998672712346517,-0.1886597892124073,-0.17182218533908278,-0.15242618465004412,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-1.064054025976791,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,1.3862943611198906,0.6931471805599453,1.8325814637483102,1.3333333333333333,4.0,,0.7619047619047619,1.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,70.0,6.0,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,3.0,1.0625,17.0,0.25,16,9.0,3.0,22.0,0.0,-0.1748716471404513,-0.1886597892124073,-0.15237532155689032,-0.1404045896758525,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-1.0270243398113883,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,1.0986122886681098,0.6931471805599453,1.9459101490553132,2.0,4.0,0.05714285714285714,0.6666666666666666,1.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MOULAALI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,2.25,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,10.5,1.0625,17.0,0.25,16,9.0,3.0,36.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.20051256454681055,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-0.8881630166911286,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,0.6931471805599453,0.6931471805599453,1.1786549963416462,4.0,4.0,,1.7777777777777777,1.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,PARVATHAPUR CHURCH,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,39.0,3.75,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,10.5,1.0625,17.0,0.25,16,9.0,3.0,22.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.1609875040890041,-0.17646937459842735,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-0.8881630166911286,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.10256410256410256,1.0666666666666667,1.0
HABSIGUDA,KEESARA,KEESARA,NAGARAM,NAGARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,150.0,3.75,False,False,False,False,4.0,64,0.0,16,8.5,1.3125,21,0.6020797289396148,16,10.5,1.0625,17.0,0.25,16,9.0,3.0,22.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.1301503343772418,-0.17646937459842735,0.0,-1.2905396567967284,0.0,-1.2905396567967284,-1.2905396567967284,-1.1149960258753622,-0.9100855581675882,-1.0718876148096965,-1.2905396567967284,-0.8881630166911286,-1.0635621641776614,-0.8976957648244148,-0.9830052415593807,-1.2905396567967284,-0.9472922717132739,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.02666666666666667,1.0666666666666667,1.0
